,state,total_involved,abbrev,democrat,republican
0,Alabama,195,AL,384752.86000000016,1336842.71
1,Alaska,18,AK,96998.15,216968.83999999997
2,Arizona,106,AZ,90790254.49000002,61447902.91
3,Arkansas,127,AR,336874.18999999994,598115.2699999999
4,California,557,CA,10674210.420000002,8769292.520000005
5,Colorado,168,CO,4200254.66,1118881.2999999998
6,Connecticut,50,CT,588089.1800000002,388528.3500000001
7,Delaware,43,DE,213554.47999999995,118575.44999999998
8,District of Columbia,156,DC,7453543.78,2962741.6899999995
9,Florida,413,FL,228997619.2600003,120591776.11000009
10,Georgia,267,GA,21697709.610000107,40336841.40000001
11,Idaho,11,ID,169490.95000000004,366301.5100000002
12,Illinois,948,IL,2040903.1399999994,1605249.4100000004
13,Indiana,155,IN,676240.4999999998,1076926.0399999993
14,Iowa,60,IA,10416407.27,20919740.049999982
15,Kansas,23,KS,353422.86999999976,594824.3999999999
16,Kentucky,95,KY,393874.35999999987,752851.6100000002
17,Louisiana,389,LA,261760.79999999993,733539.4899999998
18,Maine,4,ME,2061234.7100000002,2862870.340000001
19,Maryland,224,MD,1410241.06,613552.3700000001
20,Massachusetts,61,MA,1654253.2999999998,871490.3399999999
21,Michigan,270,MI,124906467.44000003,40808675.08999999
22,Minnesota,126,MN,26628674.74,12117679.719999999
23,Mississippi,187,MS,132094.03,554348.9900000002
24,Missouri,235,MO,766423.7499999998,1194719.1699999995
25,Nebraska,25,NE,5333865.779999999,2027806.9499999993
26,Nevada,81,NV,28383341.760000005,8082412.249999999
27,New Hampshire,4,NH,4962659.549999999,381781.79
28,New Jersey,166,NJ,1383458.499999999,970657.8
29,New Mexico,21,NM,272453.1099999999,628893.1199999998
30,New York,442,NY,4523099.719999999,2328422.1900000013
31,North Carolina,254,NC,75125832.3399997,92185547.0
32,Ohio,333,OH,18150335.900000006,13272377.839999998
33,Oklahoma,32,OK,364510.80000000016,1082462.2499999998
34,Oregon,66,OR,1271830.9500000004,699824.0100000002
35,Pennsylvania,402,PA,184897624.95000002,93823087.75000003
36,Rhode Island,13,RI,173265.96999999997,76722.23999999998
37,South Carolina,310,SC,498886.0100000002,1042076.4899999995
38,South Dakota,9,SD,331444.7,114501.30000000002
39,Tennessee,222,TN,808257.1799999998,1580080.7300000004
40,Texas,661,TX,21224050.609999996,6163373.11
41,Utah,10,UT,538560.8300000001,502985.29000000004
42,Virginia,178,VA,3681719.9899999993,1407724.8500000006
43,Washington,84,WA,2471518.8499999996,1725790.6300000004
44,West Virginia,21,WV,135747.57,363567.00000000006
45,Wisconsin,154,WI,89215324.58,53073737.479999974
